# Downloaded from https://wordletools.azurewebsites.net/weightedbottles?SortOrder=ByWeight&submit=Submit

# List in alphabetical order 

Word 	Weight
OUTER 	58%
OUTRE 	58%
OVERT 	58%
OWING 	58%
OWNER 	58%
OXIDE 	58%
OZONE 	58%
PAEAN 	58%
PAGAN 	58%
PAGER 	58%
PAINT 	58%
PALSY 	58%
PANDA 	58%
PANEL 	58%
PANIC 	58%
PAPAL 	58%
PAPER 	58%
PARKA 	58%
PARRY 	58%
PARSE 	58%
PARTY 	58%
PASSE 	58%
PASTA 	58%
PASTE 	58%
PASTY 	58%
PATCH 	58%
PATIO 	58%
PATTY 	58%
PAUSE 	58%
PAYER 	58%
PEACE 	58%
PEACH 	58%
PEARL 	58%
PECAN 	58%
PEDAL 	58%
PENAL 	58%
PENCE 	58%
PENNE 	58%
PENNY 	58%
PEPPY 	58%
PERCH 	58%
PERIL 	58%
PERKY 	58%
PESKY 	58%
PESTO 	58%
PETAL 	58%
PETIT 	58%
PETRI 	58%
PETTY 	58%
PHASE 	58%
PHONE 	58%
PHONY 	58%
PHOTO 	58%
PIANO 	58%
PICKY 	58%
PIECE 	58%
PIETY 	58%
PIGGY 	58%
PILOT 	58%
PINCH 	58%
PINOT 	58%
PINUP 	58%
PIOUS 	58%
PIQUE 	58%
PITCH 	58%
PITHY 	58%
PIVOT 	58%
PIXEL 	58%
PIXIE 	58%
PIZZA 	58%
PLACE 	58%
PLAID 	58%
PLAIN 	58%
PLANE 	58%
PLANK 	58%
PLANT 	58%
PLATE 	58%
PLAZA 	58%
PLEAD 	58%
PLUCK 	58%
PLUMB 	58%
PLUME 	58%
PLUMP 	58%
PLUNK 	58%
PLUSH 	58%
POACH 	58%
POINT 	58%
POISE 	58%
POKER 	58%
POLAR 	58%
POLIO 	58%
POLKA 	58%
POPPY 	58%
PORCH 	58%
POSIT 	58%
POSSE 	58%
POTTY 	58%
POUCH 	58%
POUND 	58%
POWER 	58%
PRANK 	58%
PRESS 	58%
PRICE 	58%
PRIDE 	58%
PRIED 	58%
PRIMA 	58%
PRIME 	58%
PRINT 	58%
PRIOR 	58%
PRISM 	58%
PRIVY 	58%
PRIZE 	58%
PROBE 	58%
PROMO 	58%
PRONE 	58%
PRONG 	58%
PROOF 	58%
PROSE 	58%
PROUD 	58%
PROVE 	58%
PROWL 	58%
PROXY 	58%
PRUDE 	58%
PRUNE 	58%
PSALM 	58%
PUBIC 	58%
PUDGY 	58%
PUFFY 	58%
PULPY 	58%
PULSE 	58%
PUNCH 	58%
PUPIL 	58%
PUPPY 	58%
PUREE 	58%
PURER 	58%
PURGE 	58%
PURSE 	58%
PUSHY 	58%
QUACK 	58%
QUAIL 	58%
QUAKE 	58%
QUART 	58%
QUASH 	58%
QUASI 	58%
QUEEN 	58%
QUEER 	58%
QUELL 	58%
QUERY 	58%
QUESO 	58%
QUEST 	58%
QUEUE 	58%
QUICK 	58%
QUIET 	58%
QUILL 	58%
QUILT 	58%
QUIRK 	58%
QUITE 	58%
QUOTA 	58%
QUOTE 	58%
RABBI 	58%
RABID 	58%
RACER 	58%
RADAR 	58%
RADIO 	58%
RAINY 	58%
RAISE 	58%
RALLY 	58%
RAMEN 	58%
RANCH 	58%
RANDY 	58%
RANGE 	58%
RANGY 	58%
RAPID 	58%
RARER 	58%
RASPY 	58%
RATIO 	58%
RATTY 	58%
RAVEN 	58%
RAZOR 	58%
REACH 	58%
REACT 	58%
READY 	58%
REALM 	58%
REBEL 	58%
REBUT 	58%
RECAP 	58%
RECUR 	58%
REDUX 	58%
REEDY 	58%
REFER 	58%
REGAL 	58%
REHAB 	58%
REIGN 	58%
RELAX 	58%
RELAY 	58%
RELIC 	58%
REMIX 	58%
RENAL 	58%
RENEW 	58%
REPAY 	58%
REPEL 	58%
REPLY 	58%
RERUN 	58%
RESET 	58%
RESIN 	58%
RETRO 	58%
RETRY 	58%
REUSE 	58%
REVEL 	58%
REVUE 	58%
RHINO 	58%
RHYME 	58%
RIDER 	58%
RIDGE 	58%
RIFLE 	58%
RIGHT 	58%
RIGID 	58%
